Estado Nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Acre,,,,17.0,41.0,50.0,90.0,176.0,301.0,733.0,1460.0,2234.0,4501.0,6326.0,8127.0,9771.0,11539.0,13146.0,14688.0,16260.0,17462.0,18783.0,20339.0,21619.0,22605.0,23729.0,24647.0,25469.0,26176.0,27106.0,27885.0,28687.0,29063.0,29765.0,30317.0,30954.0,31788.0,33295.0,34849.0,36259.0,37428.0,38628.0,40249.0,41010.0,42117.0,43346.0,44775.0,46539.0,48820.0,50694.0,53455.0,54969.0,57894.0,60656.0,62940.0,65959.0
Alagoas,,1.0,1.0,8.0,17.0,31.0,58.0,171.0,643.0,1538.0,2343.0,4031.0,6682.0,10837.0,16339.0,22926.0,29395.0,35116.0,40569.0,46296.0,50307.0,56204.0,62778.0,68237.0,72938.0,76495.0,78804.0,80786.0,82332.0,84720.0,86393.0,88135.0,88880.0,89528.0,90254.0,90918.0,91848.0,92642.0,93569.0,94984.0,96784.0,98928.0,101443.0,103748.0,106032.0,108820.0,111724.0,114836.0,118220.0,121145.0,125044.0,128501.0,132245.0,136107.0,141390.0,147882.0
Amazonas,,,2.0,32.0,151.0,532.0,1275.0,2160.0,3928.0,7313.0,12919.0,20913.0,30282.0,41774.0,49817.0,56777.0,63425.0,69893.0,76427.0,84412.0,91389.0,97079.0,102386.0,107197.0,112263.0,115792.0,120296.0,123905.0,127407.0,131920.0,136708.0,142573.0,147465.0,151858.0,157668.0,162139.0,165969.0,169552.0,173780.0,178200.0,182875.0,187279.0,192327.0,196754.0,202972.0,216112.0,232434.0,250935.0,268717.0,283658.0,295879.0,307164.0,316668.0,324564.0,332309.0,339510.0
Amapá,,,,1.0,8.0,39.0,244.0,435.0,842.0,1733.0,2671.0,4023.0,6584.0,9890.0,13294.0,16813.0,24862.0,28253.0,30004.0,31552.0,34145.0,35364.0,36804.0,38399.0,39703.0,41254.0,43193.0,44863.0,45955.0,46946.0,47935.0,48701.0,49424.0,50263.0,51192.0,52653.0,53330.0,55156.0,56922.0,59131.0,61393.0,63601.0,65422.0,67149.0,68775.0,71287.0,73626.0,75400.0,77404.0,78990.0,80663.0,82374.0,83885.0,85879.0,88363.0,92462.0
Bahia,,2.0,10.0,63.0,176.0,437.0,723.0,1377.0,2356.0,3734.0,5808.0,8881.0,14204.0,18898.0,28715.0,37620.0,47086.0,69467.0,88279.0,106891.0,123292.0,149109.0,171391.0,194097.0,217115.0,237208.0,256727.0,271963.0,283235.0,295996.0,306629.0,316005.0,326634.0,336232.0,345949.0,354576.0,363986.0,374721.0,386321.0,403071.0,424704.0,447126.0,471177.0,484485.0,496823.0,513756.0,540320.0,566743.0,589234.0,609755.0,631645.0,655481.0,686057.0,715418.0,744227.0,770430.0
Ceará,,,9.0,164.0,382.0,1045.0,1935.0,3485.0,6783.0,11040.0,17599.0,26363.0,36185.0,50504.0,66218.0,79853.0,94708.0,108225.0,123394.0,137234.0,147818.0,162429.0,176972.0,189023.0,198252.0,205875.0,214953.0,222473.0,227799.0,234120.0,239465.0,254588.0,260336.0,265875.0,270867.0,274673.0,278986.0,286674.0,293249.0,301251.0,308273.0,316681.0,324894.0,329896.0,336975.0,345235.0,356117.0,365640.0,375024.0,384819.0,396495.0,411904.0,428314.0,448542.0,474978.0,511019.0
Distrito Federal,,1.0,19.0,138.0,312.0,485.0,641.0,875.0,1189.0,1793.0,2799.0,4618.0,6930.0,10510.0,16948.0,23684.0,34148.0,47071.0,60383.0,72284.0,84287.0,98480.0,112044.0,126069.0,138735.0,150519.0,162042.0,170806.0,177921.0,184555.0,190505.0,195967.0,200412.0,205709.0,210145.0,213636.0,216861.0,220403.0,224517.0,229146.0,234376.0,240132.0,245243.0,249736.0,254310.0,259797.0,265274.0,271319.0,277907.0,281546.0,285576.0,290771.0,298836.0,308539.0,319936.0,330756.0
Espírito Santo,,1.0,8.0,33.0,85.0,209.0,463.0,1212.0,1944.0,3351.0,4819.0,7157.0,10365.0,14285.0,20659.0,27652.0,36147.0,45097.0,54547.0,63881.0,71703.0,78180.0,85215.0,93069.0,100859.0,106494.0,111263.0,115793.0,120252.0,125185.0,129796.0,135001.0,139755.0,145415.0,151276.0,156681.0,163072.0,171237.0,179517.0,190001.0,202147.0,215538.0,230420.0,242553.0,253115.0,265556.0,277357.0,287205.0,295359.0,303740.0,311278.0,318812.0,327515.0,336218.0,346544.0,361717.0
Goiás,,,9.0,23.0,60.0,119.0,233.0,403.0,616.0,861.0,1100.0,1781.0,2515.0,4017.0,6302.0,10441.0,17085.0,23379.0,30187.0,37333.0,41433.0,59043.0,70252.0,88573.0,104588.0,120223.0,133796.0,147933.0,168026.0,186596.0,204932.0,219323.0,229149.0,239808.0,249341.0,256256.0,262722.0,268997.0,274139.0,279892.0,287245.0,294282.0,301502.0,306395.0,311067.0,319768.0,330106.0,340899.0,352399.0,362898.0,373530.0,383150.0,398652.0,416763.0,439021.0,455997.0
Maranhão,,,,8.0,30.0,171.0,478.0,1396.0,2528.0,4530.0,8526.0,14198.0,24278.0,36625.0,49371.0,60592.0,70689.0,78969.0,90251.0,99830.0,106906.0,114585.0,122482.0,130566.0,137408.0,144895.0,151615.0,158310.0,162998.0,167948.0,172176.0,175753.0,178890.0,181545.0,184122.0,185986.0,187919.0,189705.0,191366.0,193170.0,195221.0,197267.0,199198.0,200220.0,201093.0,202050.0,203581.0,205621.0,207649.0,210017.0,213087.0,216210.0,219632.0,223822.0,228827.0,234635.0
Minas Gerais,,1.0,6.0,128.0,261.0,525.0,815.0,1189.0,1586.0,2347.0,3320.0,4695.0,6962.0,10670.0,15883.0,21728.0,28918.0,43864.0,59626.0,76822.0,94132.0,113718.0,133743.0,155075.0,175715.0,195920.0,216557.0,236012.0,253997.0,271194.0,290137.0,308466.0,323967.0,336648.0,349512.0,360830.0,370991.0,383473.0,398014.0,416335.0,442186.0,469003.0,499499.0,524658.0,552104.0,595007.0,646091.0,693550.0,736265.0,776215.0,808693.0,842377.0,883105.0,924572.0,974594.0,1036301.0
Mato Grosso do Sul,,,4.0,21.0,44.0,66.0,113.0,171.0,238.0,274.0,385.0,613.0,1100.0,1646.0,2455.0,3785.0,5784.0,7965.0,10687.0,13934.0,17386.0,22443.0,27678.0,32562.0,38393.0,44324.0,49820.0,54363.0,60297.0,64959.0,68963.0,72546.0,75076.0,77943.0,80538.0,83022.0,85507.0,88965.0,93747.0,100151.0,107235.0,114631.0,123529.0,130850.0,137570.0,145048.0,152026.0,157758.0,162220.0,166940.0,171828.0,177158.0,183105.0,189155.0,196094.0,202831.0
Mato Grosso,,,,6.0,18.0,76.0,134.0,181.0,256.0,344.0,545.0,941.0,1594.0,2636.0,4243.0,6390.0,10270.0,15328.0,22078.0,29279.0,35673.0,45155.0,55156.0,65346.0,74770.0,83490.0,92265.0,98709.0,106895.0,114930.0,121762.0,127730.0,132216.0,136504.0,140997.0,143978.0,147429.0,152847.0,155452.0,158982.0,163002.0,167711.0,173132.0,177293.0,182877.0,191106.0,200134.0,209004.0,218023.0,227208.0,234154.0,242846.0,252528.0,263410.0,274788.0,289823.0
Pará,,,,5.0,26.0,123.0,310.0,902.0,2219.0,4262.0,8069.0,15467.0,27366.0,40014.0,57570.0,71243.0,88636.0,103206.0,116152.0,128570.0,140393.0,150616.0,158277.0,169613.0,180090.0,191609.0,200985.0,208560.0,216318.0,221639.0,229175.0,234884.0,237996.0,242129.0,249235.0,253449.0,258311.0,262345.0,266780.0,271228.0,276221.0,281667.0,287535.0,291907.0,295439.0,303512.0,311063.0,320894.0,331163.0,341050.0,349671.0,357595.0,366613.0,374931.0,385536.0,400523.0
Paraíba,,,0.0,2.0,17.0,36.0,136.0,263.0,633.0,1361.0,2525.0,4786.0,8016.0,13695.0,20951.0,28668.0,37253.0,45057.0,53151.0,61108.0,67680.0,76693.0,84211.0,90366.0,96223.0,101303.0,105778.0,109706.0,113163.0,116879.0,119987.0,122890.0,125933.0,128549.0,130916.0,133286.0,135604.0,139168.0,142588.0,145253.0,149989.0,153917.0,159639.0,163993.0,168179.0,173299.0,177843.0,184907.0,192598.0,198735.0,205579.0,213227.0,222259.0,230206.0,239594.0,247312.0
Pernambuco,,,8.0,42.0,77.0,223.0,1154.0,2690.0,5358.0,8863.0,13768.0,20094.0,28366.0,34900.0,40705.0,45507.0,52494.0,58476.0,65642.0,72901.0,80115.0,89132.0,98401.0,105381.0,113183.0,119357.0,125539.0,132420.0,136853.0,141777.0,145096.0,149454.0,153222.0,156130.0,159476.0,163039.0,166540.0,171216.0,176158.0,182406.0,191161.0,199046.0,208135.0,215994.0,223845.0,232756.0,241409.0,251291.0,261745.0,271542.0,281331.0,291189.0,300104.0,308657.0,318449.0,331326.0
Piauí,,,,6.0,18.0,26.0,58.0,186.0,408.0,875.0,1443.0,2440.0,3720.0,5506.0,7927.0,10881.0,15269.0,20422.0,27514.0,34156.0,40276.0,47551.0,54443.0,61144.0,67226.0,72956.0,77859.0,82564.0,87213.0,91355.0,95227.0,99276.0,102813.0,106908.0,110864.0,113942.0,117732.0,120466.0,123378.0,127686.0,132095.0,135239.0,138586.0,141258.0,144200.0,148032.0,152211.0,156149.0,159741.0,163087.0,166589.0,170355.0,174546.0,180475.0,186897.0,194359.0
Paraná,,,6.0,60.0,160.0,466.0,768.0,1022.0,1201.0,1581.0,1873.0,2390.0,3384.0,4900.0,7121.0,9839.0,15124.0,21326.0,32769.0,43582.0,55909.0,68001.0,80865.0,94373.0,106379.0,119004.0,131906.0,143853.0,154820.0,165494.0,175982.0,184806.0,193974.0,200664.0,208251.0,214450.0,222831.0,240783.0,257438.0,280084.0,304220.0,332158.0,378291.0,404695.0,423041.0,474949.0,503712.0,525860.0,551985.0,571355.0,589494.0,617165.0,650236.0,727823.0,763786.0,799813.0
Rio de Janeiro,,3.0,25.0,233.0,657.0,1461.0,3221.0,4899.0,7944.0,11721.0,17939.0,26665.0,39298.0,54530.0,69499.0,80946.0,97572.0,111883.0,121879.0,132044.0,141005.0,157834.0,168064.0,180016.0,194651.0,211360.0,223631.0,233052.0,242811.0,252046.0,262006.0,273338.0,283858.0,291413.0,302746.0,311308.0,316575.0,327455.0,338688.0,354354.0,371376.0,389893.0,407575.0,421674.0,439345.0,461561.0,482431.0,501436.0,522998.0,540087.0,555541.0,572866.0,583795.0,594964.0,607806.0,623460.0
Rio Grande do Norte,,,1.0,13.0,77.0,246.0,376.0,608.0,857.0,1536.0,2033.0,3483.0,5472.0,8233.0,11027.0,15212.0,20075.0,30352.0,35897.0,40455.0,44340.0,48515.0,52724.0,56572.0,58504.0,60358.0,62204.0,64097.0,65873.0,67689.0,69263.0,71299.0,73423.0,79025.0,80403.0,81901.0,83220.0,84522.0,87366.0,96096.0,99304.0,105388.0,111090.0,116377.0,120676.0,126049.0,131770.0,137640.0,142250.0,146782.0,158296.0,162499.0,169462.0,177072.0,182801.0,186589.0
Rondônia,,,,3.0,8.0,18.0,42.0,199.0,393.0,756.0,1398.0,2043.0,3268.0,4942.0,8626.0,12180.0,15827.0,20406.0,23920.0,27050.0,29801.0,36148.0,40016.0,44372.0,48232.0,51791.0,55153.0,58237.0,60746.0,63267.0,65386.0,66783.0,67973.0,69213.0,70600.0,71953.0,73490.0,75468.0,77615.0,80538.0,83392.0,86118.0,89633.0,93667.0,97197.0,102518.0,110331.0,118097.0,125612.0,132167.0,137384.0,143085.0,149513.0,158343.0,166931.0,176207.0
Roraima,,,,2.0,16.0,42.0,113.0,247.0,425.0,668.0,1295.0,1882.0,2564.0,3850.0,6056.0,6935.0,10340.0,14641.0,19088.0,22968.0,25985.0,30316.0,33194.0,37006.0,40183.0,42044.0,43707.0,45302.0,46848.0,48542.0,50185.0,51450.0,52701.0,54459.0,56182.0,57624.0,59273.0,60790.0,62139.0,63572.0,65084.0,66515.0,67686.0,68363.0,69029.0,69888.0,71232.0,72656.0,74367.0,76043.0,77697.0,80097.0,82217.0,83869.0,86022.0,87649.0
Rio Grande do Sul,,,8.0,96.0,254.0,501.0,685.0,904.0,1256.0,1768.0,2808.0,3750.0,6559.0,9496.0,12250.0,15438.0,19710.0,25659.0,32401.0,39656.0,47449.0,60044.0,71479.0,84034.0,98007.0,109953.0,125813.0,143952.0,157907.0,175349.0,185778.0,203497.0,214584.0,224020.0,235673.0,249437.0,261656.0,279872.0,298670.0,322058.0,350569.0,378893.0,409794.0,432241.0,455326.0,482062.0,508058.0,528950.0,548062.0,564709.0,586315.0,606414.0,643672.0,691405.0,744844.0,793008.0
Santa Catarina,,,7.0,86.0,219.0,417.0,826.0,1063.0,1476.0,2623.0,3529.0,5175.0,6875.0,9498.0,11742.0,13960.0,17937.0,25056.0,33822.0,43815.0,54414.0,70138.0,88889.0,106928.0,121666.0,133533.0,177777.0,189477.0,198640.0,206332.0,213066.0,220044.0,228008.0,236224.0,247477.0,261543.0,275655.0,297400.0,327961.0,364344.0,399691.0,432050.0,463732.0,482129.0,498910.0,522478.0,543389.0,561382.0,578550.0,595952.0,615441.0,641840.0,675577.0,709077.0,733309.0,767652.0
Sergipe,,,5.0,10.0,18.0,32.0,45.0,92.0,211.0,772.0,1800.0,3566.0,5448.0,7233.0,9727.0,15675.0,19384.0,24817.0,30718.0,38221.0,46059.0,53612.0,60479.0,64974.0,68313.0,70606.0,72528.0,73846.0,75046.0,76073.0,77172.0,78380.0,79975.0,82040.0,83863.0,84491.0,85477.0,86146.0,87477.0,90148.0,95174.0,99753.0,104426.0,110001.0,115636.0,123836.0,128854.0,133655.0,138187.0,141464.0,145677.0,148372.0,152003.0,156109.0,159857.0,166617.0
São Paulo,2.0,16.0,152.0,745.0,1517.0,4866.0,8895.0,14580.0,21696.0,32187.0,46131.0,63066.0,83625.0,111296.0,144593.0,181460.0,221973.0,275145.0,323070.0,374607.0,416434.0,487654.0,560218.0,628415.0,702665.0,756480.0,804342.0,857330.0,893349.0,937332.0,973142.0,1004579.0,1038344.0,1064039.0,1092843.0,1117795.0,1125936.0,1169377.0,1210625.0,1241653.0,1288878.0,1337016.0,1388043.0,1427752.0,1473670.0,1549142.0,1628272.0,1702294.0,1779722.0,1851776.0,1915914.0,1978477.0,2044699.0,2117962.0,2208242.0,2311101.0
Tocantins,,,,7.0,11.0,19.0,26.0,35.0,79.0,303.0,828.0,1646.0,2696.0,4345.0,6052.0,7309.0,8766.0,10764.0,13004.0,15723.0,18354.0,22851.0,27664.0,33047.0,38845.0,45400.0,51629.0,56223.0,60725.0,64273.0,66865.0,69587.0,71269.0,73065.0,74500.0,75680.0,77095.0,78364.0,79894.0,81972.0,83948.0,85731.0,88070.0,89794.0,91230.0,93895.0,97196.0,100204.0,102790.0,105184.0,107560.0,110761.0,115342.0,120228.0,127093.0,133050.0
