Estado Nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Acre,,,,0.0,0.0,0.1134,0.3402,0.9071,1.5874,3.1748,4.989,7.5969,10.9985,18.2553,23.9247,30.0476,34.583,40.9327,44.6745,48.7564,52.725,55.8998,61.1156,63.7235,65.9913,68.4858,69.3929,70.7535,72.5677,73.5882,74.4953,75.6292,76.5363,76.9898,78.1237,78.5772,79.4843,80.278,80.9583,81.9788,83.4529,85.3804,86.9679,89.4624,91.39,93.6577,94.905,96.8325,98.9869,101.2546,105.5633,109.7587,114.7477,120.8706,128.014,134.9306,137.992
Alagoas,,0.0,0.0,0.0,0.0,0.0599,0.1199,0.5393,1.0188,2.1574,4.135,6.622,10.0978,13.8133,18.6375,23.0122,27.0573,30.9227,35.1176,38.8631,42.3389,45.3652,48.1519,50.5789,52.8262,54.7439,56.5417,58.01,59.4782,60.6468,61.7854,63.0139,64.2425,65.3811,66.3998,67.2988,68.1378,68.8569,69.5461,70.0854,70.6247,71.3139,72.4226,73.9507,75.359,76.9771,78.7749,80.6626,82.5204,84.3182,86.0861,88.0937,90.1911,92.9478,96.3637,100.6185,102.5063
Amazonas,,,0.0,0.0,0.0483,0.4584,1.7131,4.4636,7.7209,14.1148,24.9723,34.5751,42.9716,49.9687,54.7942,60.609,64.4453,67.3648,70.8875,73.5415,75.9784,77.788,79.3322,81.6485,84.5679,86.1845,88.0423,92.8679,94.0502,95.6426,97.2592,100.9748,102.4708,104.9559,107.61,110.1434,112.0495,113.3765,115.741,118.0814,119.7704,120.9044,122.907,125.6093,129.518,138.8796,152.1982,174.4922,199.4404,219.949,241.085,253.8727,263.9099,272.3546,279.231,285.1423,286.9519
Amapá,,,,0.0,0.0,0.2365,0.7094,1.5371,3.0743,5.7938,8.6316,15.0166,19.8645,26.9589,32.871,38.9013,43.9856,48.8335,53.0902,56.5192,60.8941,65.7419,68.1068,71.2993,72.9546,75.3195,78.1572,79.5761,80.4038,81.9409,83.2416,84.897,85.8429,86.7888,87.6165,88.5624,90.3361,92.2279,93.6468,95.4204,98.14,100.9777,104.052,107.2445,110.5552,115.4031,118.8321,122.0246,125.8083,128.0549,130.7744,133.021,135.0311,137.2777,140.352,145.791,148.7471
Bahia,,0.0,0.0,0.0,0.0134,0.0672,0.1479,0.316,0.5581,0.948,1.4388,2.0978,3.2071,4.7132,6.1184,7.6985,9.6887,12.1024,14.5767,17.0442,19.4378,21.6969,24.3662,26.9682,30.0879,33.4901,36.2871,38.2773,40.3347,42.4459,44.6983,46.7489,48.134,49.3644,50.4066,51.5496,52.5648,53.5666,54.6155,55.5904,56.7805,58.058,59.4027,60.7877,62.1661,63.5579,64.9967,66.4692,68.15,70.0057,72.601,75.667,80.1045,84.9321,89.6991,95.636,98.3725
Ceará,,,0.0,0.0,0.0548,0.3833,1.106,2.2558,4.3473,7.7967,13.02,19.1413,27.2994,34.9099,45.9041,55.201,61.5194,66.5347,71.2215,76.3791,79.4562,82.2266,84.9861,87.5376,89.4868,91.2717,92.082,93.8122,95.2467,96.7359,97.9843,99.2874,100.032,100.9299,101.7622,102.5177,103.0105,103.4047,104.1822,105.4305,106.6241,107.3359,108.7047,109.0661,109.7779,111.2781,112.1322,113.4791,114.826,116.2824,118.6586,120.5421,124.101,129.2258,135.2923,140.9318,145.7828
Distrito Federal,,0.0,0.0,0.0,0.0663,0.3316,0.4975,0.7959,0.9286,1.0944,1.4592,2.1889,3.7808,5.7375,7.4952,10.5795,14.8909,18.539,24.0775,30.843,36.879,44.4073,51.2724,58.4359,67.722,76.8091,83.6078,90.2076,97.1721,102.7106,106.226,110.9686,114.0529,118.099,120.7521,122.543,124.6655,126.8544,128.7448,130.3367,132.6914,135.5103,137.8319,140.0539,142.2427,144.8627,146.8195,148.9088,151.363,153.585,155.7739,158.0622,161.3455,165.1263,170.6316,180.4483,186.0531
Espírito Santo,,0.0,0.0,0.0,0.0,0.1493,0.423,0.8461,1.5677,3.0607,4.8773,7.515,11.571,15.6271,21.6739,27.0489,34.5141,40.312,45.687,50.7633,56.1383,60.6423,64.6983,68.7793,72.3377,75.7717,78.5836,81.3208,83.5853,85.4018,87.6911,89.433,91.0505,92.7675,94.5342,96.1268,97.9931,100.2824,103.2436,106.4785,110.2609,114.6903,119.3436,124.3204,128.7995,133.2039,137.7577,142.2368,146.5169,149.7767,153.3848,156.7193,160.0537,163.637,167.8673,173.7151,178.1942
Goiás,,,0.0,0.0,0.0142,0.0712,0.2137,0.2707,0.3705,0.4275,0.6982,1.0401,1.3678,1.8095,2.465,3.3911,4.6165,6.654,9.3184,12.5386,16.3144,20.7599,24.4502,29.5226,33.8826,39.9524,45.0106,49.5985,55.2409,60.0711,65.286,70.2016,74.2197,77.3971,80.0473,82.099,83.6948,86.345,89.2374,90.8048,92.3293,93.6544,95.008,96.5469,97.701,99.2398,101.2631,103.9418,106.8484,110.0685,114.3715,118.703,121.7522,128.4062,138.5225,150.0922,154.8511
Maranhão,,,,0.0,0.0141,0.0565,0.4523,0.848,2.0494,3.8303,5.9786,8.5369,11.5474,14.0915,17.625,21.1867,24.8757,28.4374,31.8013,35.3489,38.7269,41.5961,43.377,45.0448,46.3168,47.5606,48.7055,49.7231,50.7408,51.7867,52.7902,53.8078,54.7831,55.6735,56.5781,57.525,58.3731,59.1787,59.9419,60.7193,61.3977,61.9913,62.6556,63.3058,63.9418,64.5637,65.1997,65.7651,66.5425,67.659,68.6908,69.9487,71.7155,75.0369,77.8072,80.846,82.4997
Minas Gerais,,0.0,0.0,0.0,0.0047,0.0425,0.1087,0.1937,0.2929,0.4252,0.5716,0.7606,1.0865,1.3133,1.7951,2.2722,3.2501,4.4405,5.8104,7.6292,9.4668,11.6256,13.6711,16.992,19.9492,22.6985,25.2022,27.6397,29.6947,31.7779,34.2013,36.1664,38.4056,39.9314,41.4714,42.7374,43.4791,44.9577,46.2662,47.433,48.8502,50.5981,53.0734,54.8213,56.9848,60.164,63.6928,67.5759,71.3031,75.4271,79.7731,83.7695,87.8557,92.3435,97.7241,104.1864,106.6239
Mato Grosso do Sul,,,0.0,0.0,0.0,0.036,0.1439,0.1799,0.3239,0.3598,0.3958,0.5757,0.6117,0.7197,0.7917,1.2954,1.9791,2.7348,4.606,6.3692,8.9241,11.8029,15.5452,19.5755,23.6417,27.6,31.9901,35.5166,39.7987,42.8574,46.5278,49.5145,52.1413,54.4083,56.3515,58.0068,59.0143,61.0654,62.5408,64.0521,66.643,70.7812,75.855,81.6845,87.478,93.0915,97.3377,102.1596,105.686,109.8602,113.7105,116.6253,120.5476,125.6214,131.9546,140.159,143.0378
Mato Grosso,,,,0.0,0.0,0.0287,0.1148,0.1722,0.287,0.3731,0.5453,0.861,1.2053,1.9228,3.616,6.3998,11.3073,16.9323,24.5949,31.7122,39.7765,47.7548,55.3026,63.2522,69.3363,75.0187,80.6723,85.465,90.6021,94.62,98.236,101.7373,104.3201,107.1039,109.1702,110.8348,112.5567,116.3162,117.579,118.8704,120.6211,122.6013,126.1312,128.2262,131.5266,134.7122,138.1847,143.2931,147.9136,153.0794,157.4129,162.1769,167.3714,174.6322,185.2795,199.1123,205.713
Pará,,,,0.0,0.0,0.0581,0.1627,0.4068,1.4181,3.9987,9.4387,16.1807,28.258,35.093,44.5782,49.8787,54.3075,57.1902,59.608,61.8166,64.5599,66.8731,67.4078,68.5934,69.4536,70.6509,71.79,72.8711,74.2427,75.2889,76.2537,76.8814,77.3812,77.7183,78.2181,78.6017,79.0318,79.4851,79.9152,80.4151,80.8917,81.5194,82.1703,83.1002,84.0999,85.3088,86.3317,87.6917,89.1447,91.2952,93.7362,97.0956,100.8385,104.7093,109.5798,115.0663,117.5306
Paraíba,,,0.0,0.0,0.0,0.0995,0.3982,0.8213,1.319,2.1154,3.4593,5.1517,6.9435,9.2083,12.6178,16.326,19.5116,23.17,27.8239,32.4032,37.7539,42.9802,46.5391,50.3468,54.3288,57.9872,60.9737,63.4624,65.6774,67.6683,69.7838,71.2023,72.9195,74.6865,76.2047,77.3495,78.6436,79.9129,81.0328,82.0034,83.7953,85.9107,88.3994,90.465,92.6302,95.1687,97.1099,99.3249,101.2412,103.481,105.8951,108.9811,112.6395,117.2437,124.237,131.2054,134.4905
Pernambuco,,,0.0,0.0,0.0628,0.3139,1.0673,2.4484,4.7086,7.2302,11.3738,17.1601,23.5219,30.0824,35.0526,40.661,44.4906,50.0363,54.0228,59.1395,63.1574,66.715,69.7808,72.9303,75.4415,77.4191,79.449,80.7884,82.5357,83.9692,85.6957,87.2652,88.0395,88.8347,89.609,90.3833,91.4506,92.476,93.3968,94.5583,95.9499,97.2997,98.8064,100.3236,101.4014,103.0755,104.9589,106.7273,108.4433,109.95,111.7183,113.6645,115.1713,117.264,119.3985,122.4015,124.0234
Piauí,,,,0.0,0.1222,0.1222,0.2444,0.4277,0.6416,0.886,1.497,2.5968,3.6356,5.4992,8.096,12.0065,15.7948,20.2552,25.4794,30.3065,34.828,39.044,42.8018,46.6207,50.0118,53.1891,56.3053,58.505,60.7352,62.6599,64.3707,66.2649,68.3423,70.3893,72.1918,74.2998,75.8273,77.6298,79.1574,80.471,82.2124,83.5567,84.9009,86.1841,87.4672,89.0558,90.675,92.2637,93.8523,95.8992,97.7934,99.5959,102.8037,107.0503,112.244,117.6515,120.676
Paraná,,,0.0,0.0,0.0262,0.1224,0.2886,0.4635,0.6734,0.8484,0.997,1.137,1.3993,1.7054,2.1865,2.9911,4.1018,5.3612,7.1716,9.5243,11.8682,14.8942,17.9291,20.9726,23.9025,26.3251,28.7739,31.284,33.6979,36.2604,38.2895,40.3972,41.8403,43.1784,44.6652,45.7584,47.84,50.0964,51.417,53.8221,56.5946,59.4982,64.116,67.6319,70.4918,76.6839,79.5175,83.1471,87.8786,91.237,94.1494,97.569,102.2043,110.2855,119.1713,130.9171,137.7476
Rio de Janeiro,,0.0,0.0,0.0232,0.1043,0.4112,1.0542,2.4443,3.9212,6.1686,10.252,16.519,23.7765,31.6364,39.2761,44.7612,51.7407,57.0404,61.9637,66.4584,70.4375,74.5789,78.7955,81.7147,84.3675,89.1518,93.0498,96.108,98.4828,102.6763,105.943,108.7753,111.8567,114.5095,117.0754,119.5254,121.0835,123.3772,127.588,130.8432,134.0925,137.5041,141.7844,144.4662,148.3758,155.0599,161.0489,167.1364,172.8821,177.817,182.5202,186.8295,191.6774,195.3612,198.8422,203.7655,205.9839
Rio Grande do Norte,,,0.0,0.0,0.0285,0.1996,0.5133,0.7984,1.3687,1.9391,2.652,4.5625,6.2734,9.7238,13.0887,16.6816,21.3867,29.6277,36.9847,41.3191,46.4234,49.0468,55.0921,57.573,60.1109,62.6773,64.8159,65.6999,66.5554,67.3824,68.2093,68.8652,69.2929,73.057,73.3706,73.9124,74.5968,75.6234,76.2507,77.1632,78.8171,80.8417,82.6952,85.0905,87.2577,89.2538,91.3925,93.3315,94.6147,96.4968,98.0366,101.0022,104.3956,108.5018,113.7202,120.8206,123.8147
Rondônia,,,,0.0,0.0563,0.0563,0.1125,0.2251,0.5627,1.4067,2.6446,4.6702,6.8084,8.7777,13.7855,18.6808,24.3076,28.0775,31.3973,36.4051,39.9499,46.702,49.9655,53.1165,57.224,60.375,64.5951,66.7895,70.5032,73.4291,75.3984,77.3678,78.662,80.2937,81.1377,81.9817,83.1634,84.57,85.6391,87.8336,90.2531,92.56,96.1049,99.3121,103.5322,108.3712,114.2793,119.7372,127.1083,133.2977,142.5256,153.1039,161.4877,177.1301,192.1535,209.709,218.0928
Roraima,,,,0.0,0.0,0.1651,0.4952,0.4952,0.6603,1.8159,3.962,9.9049,14.197,19.8098,27.7337,35.6576,41.4355,46.7181,62.0707,65.7025,71.8105,79.0741,87.1631,90.96,94.7568,96.0775,97.8934,98.7188,100.8649,101.6903,105.8173,109.1189,110.6047,113.246,114.0714,114.2365,114.7317,117.0429,119.0238,120.1794,122.8207,125.6271,127.443,127.6081,130.2494,131.2399,134.7066,137.8431,141.4749,147.9131,164.2562,175.1516,183.9009,196.6122,206.352,212.9553,215.1013
Rio Grande do Sul,,,0.0,0.0,0.0352,0.0703,0.1494,0.2373,0.3955,0.668,0.9229,1.3272,1.7315,2.0392,2.5577,3.1642,4.0256,5.1155,6.6712,8.7455,11.2945,14.1599,17.7196,21.2442,24.1183,27.265,30.1919,33.0133,35.8611,38.7528,40.8535,43.5255,45.2482,47.3577,49.3529,51.0229,52.7105,54.8727,57.3426,59.8827,63.5919,67.512,71.7134,75.027,79.2635,83.4825,87.6047,91.059,94.1793,96.9304,100.0858,103.8916,109.6048,119.2029,132.7651,150.8011,157.692
Santa Catarina,,,0.0,0.0,0.0279,0.1535,0.3629,0.4885,0.6141,0.7676,0.963,1.1864,1.5213,2.0377,2.4704,2.7775,3.573,4.5221,5.6666,7.2158,9.6863,12.8964,16.6927,21.508,25.6672,28.8355,31.5432,33.8042,35.493,37.0702,38.5915,39.8895,40.727,41.5365,42.4437,43.6719,45.0955,46.4773,48.7663,52.5068,56.4008,61.6906,66.5895,70.9302,75.0336,79.2347,82.6124,86.0179,88.8093,91.517,94.1549,97.5325,103.8133,112.5225,122.6973,134.7004,141.0788
Sergipe,,,0.0,0.0,0.0,0.174,0.174,0.2175,0.4785,0.7395,1.6096,2.5667,4.4808,7.2215,10.1797,15.313,21.3599,28.4074,35.9334,44.025,50.2894,58.2939,64.7759,70.2137,74.6945,78.0007,80.7849,82.5686,85.0917,86.4403,88.0934,89.6595,91.4431,93.0528,94.7494,96.446,97.6206,98.3166,99.1432,100.4048,101.6663,103.1019,104.9726,107.0607,109.4534,112.4551,115.8048,119.024,121.1991,123.2873,125.3319,126.7675,129.1602,131.9009,136.6427,143.4726,146.5179
São Paulo,0.0,0.0,0.0,0.0653,0.2461,0.662,1.3241,2.2583,3.9744,5.7797,8.1513,10.5033,13.5456,16.6968,20.0091,23.4478,27.5136,31.3552,35.1357,38.9969,43.0932,47.2048,50.883,54.7725,58.5792,62.0766,65.3629,68.3311,71.086,74.0085,76.4933,78.8779,81.1842,82.8305,84.3942,85.6856,86.4935,88.3642,89.8886,91.6722,93.7302,95.9297,98.2947,99.9629,102.1101,105.3571,108.859,112.2758,115.6165,119.0421,122.6158,125.9652,129.676,134.1143,139.8613,147.2199,151.3598
Tocantins,,,,0.0,0.0,0.0,0.0,0.1272,0.1272,0.445,0.8901,2.416,3.6875,4.8319,7.2479,8.9009,11.3805,12.7156,14.4958,16.9754,19.5821,22.6974,25.9399,30.1361,33.76,38.7827,43.6782,48.1923,52.2613,55.7581,58.6191,61.9888,64.3411,67.075,69.2367,69.936,70.8897,72.5427,73.1785,74.1958,75.4673,76.6753,77.4383,78.1376,79.3456,81.2529,84.114,86.0213,88.4373,90.9168,92.697,94.7315,97.8469,101.7887,109.0366,116.8567,119.8449
