País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
França,0.0,0.0,0.0,1.0,2.0,7.0,48.0,244.0,1697.0,5387.0,12214.0,17903.0,21829.0,24349.0,25991.0,27430.0,28242.0,28666.0,29069.0,29349.0,29606.0,29754.0,29878.0,29983.0,30142.0,30186.0,30257.0,30315.0,30393.0,30485.0,30588.0,30717.0,30824.0,31108.0,31524.0,32035.0,32539.0,33146.0,34234.0,36058.0,39088.0,43024.0,47198.0,51041.0,54231.0,57044.0,59733.0,62389.0,64759.0,66700.0,69452.0,
Gabão,1.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,10.0,12.0,15.0,21.0,23.0,34.0,40.0,44.0,46.0,46.0,49.0,49.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,58.0,59.0,59.0,60.0,63.0,64.0,64.0,64.0,66.0,66.0,,,,,,,,
Gâmbia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,8.0,9.0,23.0,63.0,87.0,96.0,99.0,103.0,108.0,111.0,115.0,118.0,118.0,119.0,119.0,122.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0,124.0,125.0,126.0,,,,,,,,
Geórgia,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,9.0,11.0,12.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,23.0,36.0,58.0,102.0,158.0,238.0,362.0,521.0,778.0,1051.0,1303.0,1576.0,1883.0,2182.0,2443.0,2646.0,2820.0,2867.0,,,,,
Alemanha,0.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,533.0,1584.0,3022.0,4586.0,5976.0,6866.0,7569.0,7962.0,8283.0,8540.0,8685.0,8801.0,8895.0,8968.0,9023.0,9071.0,9092.0,9124.0,9154.0,9202.0,9235.0,9275.0,9300.0,9330.0,9354.0,9390.0,9464.0,9533.0,9626.0,9798.0,10062.0,10513.0,11372.0,12573.0,14159.0,16306.0,18989.0,22106.0,26400.0,30297.0,34791.0,40936.0,45207.0,
Gana,0.0,4.0,5.0,6.0,8.0,10.0,17.0,18.0,28.0,31.0,34.0,42.0,48.0,70.0,103.0,117.0,135.0,144.0,161.0,182.0,206.0,223.0,261.0,270.0,283.0,285.0,295.0,299.0,301.0,306.0,310.0,314.0,320.0,320.0,320.0,323.0,323.0,325.0,326.0,331.0,333.0,335.0,336.0,341.0,,,,,,,,
Grécia,0.0,0.0,5.0,20.0,49.0,81.0,101.0,121.0,138.0,146.0,152.0,165.0,173.0,179.0,183.0,185.0,190.0,192.0,193.0,193.0,197.0,203.0,209.0,214.0,232.0,243.0,271.0,290.0,313.0,352.0,388.0,420.0,462.0,528.0,593.0,655.0,866.0,1228.0,1815.0,2517.0,3194.0,3785.0,4340.0,4730.0,5051.0,5329.0,5387.0,,,,,
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
Guatemala,1.0,1.0,1.0,3.0,7.0,11.0,16.0,24.0,30.0,51.0,90.0,216.0,351.0,483.0,672.0,880.0,1139.0,1443.0,1669.0,1924.0,2168.0,2341.0,2532.0,2709.0,2825.0,2929.0,3076.0,3186.0,3267.0,3356.0,3478.0,3594.0,3714.0,3794.0,3880.0,4067.0,4141.0,4224.0,4376.0,4589.0,4757.0,4820.0,4972.0,5151.0,,,,,,,,
Guiné,0.0,0.0,0.0,0.0,1.0,6.0,7.0,11.0,15.0,18.0,22.0,23.0,23.0,26.0,29.0,33.0,36.0,39.0,42.0,46.0,49.0,50.0,53.0,58.0,61.0,63.0,63.0,65.0,66.0,68.0,70.0,71.0,71.0,73.0,74.0,75.0,76.0,76.0,79.0,80.0,80.0,81.0,81.0,81.0,,,,,,,,
Guiné-Bissau,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,7.0,8.0,12.0,15.0,19.0,24.0,25.0,26.0,26.0,26.0,27.0,29.0,33.0,33.0,34.0,38.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,
Guiana,1.0,1.0,2.0,6.0,6.0,7.0,8.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,16.0,18.0,19.0,20.0,22.0,22.0,27.0,31.0,41.0,48.0,58.0,69.0,80.0,95.0,106.0,116.0,123.0,130.0,137.0,142.0,147.0,151.0,154.0,158.0,162.0,164.0,166.0,170.0,170.0,,,,,,,
Haiti,0.0,0.0,2.0,3.0,5.0,8.0,12.0,20.0,25.0,34.0,50.0,64.0,84.0,96.0,110.0,123.0,145.0,154.0,161.0,171.0,192.0,196.0,200.0,210.0,215.0,220.0,227.0,229.0,230.0,231.0,231.0,232.0,232.0,232.0,232.0,232.0,233.0,233.0,234.0,234.0,236.0,236.0,238.0,,,,,,,,,
Santa Sé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Honduras,0.0,0.0,7.0,22.0,26.0,46.0,64.0,93.0,121.0,147.0,188.0,225.0,271.0,330.0,405.0,497.0,677.0,807.0,988.0,1214.0,1400.0,1515.0,1593.0,1703.0,1888.0,2034.0,2087.0,2206.0,2323.0,2447.0,2528.0,2582.0,2639.0,2706.0,2780.0,2839.0,2869.0,2918.0,2950.0,3001.0,3046.0,3111.0,3186.0,3294.0,3335.0,,,,,,,
Hungria,0.0,1.0,9.0,16.0,47.0,122.0,213.0,291.0,363.0,425.0,467.0,499.0,532.0,550.0,565.0,573.0,585.0,589.0,595.0,596.0,596.0,598.0,605.0,609.0,614.0,616.0,626.0,646.0,694.0,757.0,853.0,996.0,1211.0,1535.0,1973.0,2596.0,3281.0,4008.0,4977.0,6120.0,7237.0,8462.0,9292.0,10080.0,10853.0,11066.0,,,,,,
Islândia,0.0,0.0,5.0,2.0,4.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,18.0,25.0,25.0,26.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,,,,,,
Índia,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,58.0,178.0,405.0,681.0,1079.0,1785.0,2551.0,3434.0,4534.0,6088.0,8102.0,12237.0,14894.0,17834.0,21129.0,24914.0,29861.0,34955.0,40699.0,47033.0,53866.0,60472.0,67376.0,75062.0,83198.0,91149.0,98678.0,105526.0,111266.0,116616.0,120527.0,124315.0,128121.0,131578.0,135223.0,138648.0,141772.0,144451.0,146756.0,148738.0,150336.0,151727.0,151727.0,
Indonésia,0.0,5.0,48.0,114.0,198.0,373.0,582.0,743.0,845.0,973.0,1148.0,1372.0,1613.0,1851.0,2134.0,2465.0,2754.0,3171.0,3606.0,4143.0,4781.0,5236.0,5723.0,6150.0,6680.0,7343.0,8025.0,8723.0,9553.0,10386.0,11151.0,11844.0,12511.0,13299.0,13943.0,14614.0,15211.0,15884.0,16815.0,17740.0,18819.0,19880.0,21237.0,22734.0,24129.0,25246.0,,,,,,
Irã,16.0,77.0,291.0,988.0,1934.0,2898.0,3872.0,4683.0,5297.0,5877.0,6340.0,6733.0,7119.0,7508.0,7942.0,8425.0,9065.0,9863.0,10817.0,11931.0,13211.0,14634.0,16147.0,17617.0,18800.0,19972.0,20901.0,21672.0,22542.0,23453.0,24656.0,25986.0,27419.0,29070.0,31034.0,33299.0,36160.0,39202.0,42461.0,45738.0,48628.0,50917.0,52670.0,54003.0,54946.0,55748.0,56360.0,56538.0,,,,
Iraque,0.0,6.0,10.0,20.0,42.0,61.0,76.0,82.0,87.0,97.0,109.0,123.0,160.0,205.0,346.0,607.0,1100.0,1756.0,2473.0,3150.0,3781.0,4362.0,4868.0,5392.0,5860.0,6428.0,6959.0,7512.0,8014.0,8555.0,8990.0,9399.0,9852.0,10254.0,10623.0,10966.0,11327.0,11670.0,11958.0,12224.0,12432.0,12579.0,12697.0,12780.0,12834.0,12895.0,12922.0,,,,,
Irlanda,0.0,1.0,3.0,22.0,120.0,287.0,530.0,1014.0,1265.0,1429.0,1518.0,1592.0,1645.0,1670.0,1705.0,1714.0,1730.0,1740.0,1744.0,1752.0,1763.0,1764.0,1772.0,1774.0,1776.0,1777.0,1777.0,1781.0,1792.0,1797.0,1806.0,1821.0,1841.0,1878.0,1908.0,1940.0,1972.0,2018.0,2043.0,2086.0,2120.0,2149.0,2194.0,2248.0,2327.0,2488.0,,,,,,
Israel,0.0,0.0,0.0,0.0,10.0,38.0,89.0,146.0,196.0,225.0,242.0,268.0,281.0,287.0,293.0,302.0,306.0,318.0,331.0,364.0,406.0,479.0,550.0,634.0,723.0,806.0,899.0,998.0,1103.0,1235.0,1416.0,1650.0,1893.0,2148.0,2352.0,2525.0,2652.0,2718.0,2778.0,2840.0,2895.0,2961.0,3050.0,3171.0,3325.0,3552.0,3870.0,,,,,
Itália,0.0,0.0,0.0,17.0,148.0,1016.0,3405.0,8215.0,13915.0,18279.0,22170.0,25549.0,27967.0,29958.0,31368.0,32486.0,33142.0,33689.0,34167.0,34514.0,34678.0,34818.0,34926.0,35017.0,35092.0,35132.0,35187.0,35231.0,35418.0,35463.0,35507.0,35587.0,35658.0,35781.0,35918.0,36083.0,36372.0,36968.0,38122.0,40192.0,43589.0,47870.0,52850.0,58038.0,62626.0,67220.0,70900.0,74159.0,77291.0,80848.0,,
Jamaica,0.0,1.0,1.0,3.0,4.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,14.0,14.0,19.0,21.0,36.0,46.0,75.0,101.0,123.0,146.0,174.0,196.0,214.0,224.0,231.0,243.0,258.0,265.0,276.0,288.0,298.0,305.0,315.0,322.0,,,,,,,
Japão,0.0,0.0,0.0,2.0,3.0,6.0,13.0,30.0,42.0,67.0,98.0,170.0,303.0,436.0,593.0,707.0,805.0,863.0,902.0,920.0,934.0,965.0,972.0,981.0,984.0,988.0,1001.0,1023.0,1058.0,1135.0,1219.0,1313.0,1398.0,1463.0,1519.0,1568.0,1609.0,1635.0,1679.0,1726.0,1794.0,1840.0,1895.0,1963.0,2109.0,2334.0,2581.0,2877.0,3196.0,3548.0,3962.0,4119.0
Jordânia,0.0,0.0,0.0,5.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,17.0,26.0,32.0,51.0,110.0,207.0,380.0,624.0,913.0,1295.0,1843.0,2302.0,2751.0,3116.0,3407.0,3604.0,3778.0,3919.0,4043.0,4107.0,,,,,,
Cazaquistão,0.0,1.0,3.0,8.0,17.0,20.0,25.0,30.0,32.0,35.0,37.0,52.0,67.0,100.0,140.0,188.0,264.0,375.0,585.0,793.0,1109.0,1433.0,1652.0,1781.0,1889.0,1951.0,2006.0,2045.0,2080.0,2108.0,2141.0,2186.0,2222.0,2263.0,2311.0,2368.0,2424.0,2438.0,2550.0,2615.0,2677.0,2761.0,2781.0,2882.0,,,,,,,,
Quénia,0.0,1.0,3.0,7.0,11.0,14.0,17.0,29.0,42.0,50.0,58.0,78.0,92.0,117.0,132.0,152.0,173.0,217.0,263.0,325.0,399.0,460.0,516.0,567.0,585.0,612.0,642.0,669.0,711.0,751.0,805.0,870.0,964.0,1072.0,1203.0,1330.0,1427.0,1500.0,1568.0,1618.0,1652.0,1670.0,1702.0,1723.0,,,,,,,,
Coreia do Sul,0.0,0.0,0.0,0.0,10.0,28.0,54.0,81.0,120.0,162.0,192.0,222.0,237.0,246.0,255.0,259.0,263.0,269.0,273.0,276.0,279.0,281.0,282.0,285.0,289.0,297.0,300.0,302.0,305.0,306.0,312.0,326.0,344.0,367.0,388.0,413.0,425.0,438.0,450.0,461.0,474.0,487.0,496.0,513.0,526.0,556.0,612.0,739.0,879.0,1027.0,1185.0,1217.0
Kosovo,0.0,1.0,1.0,7.0,11.0,19.0,22.0,27.0,29.0,29.0,30.0,30.0,31.0,34.0,42.0,55.0,94.0,124.0,164.0,227.0,303.0,381.0,448.0,499.0,551.0,586.0,611.0,617.0,627.0,641.0,652.0,659.0,678.0,732.0,798.0,885.0,975.0,1026.0,1174.0,1240.0,1298.0,1336.0,1368.0,1392.0,,,,,,,,
Kuwait,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,20.0,38.0,58.0,112.0,156.0,212.0,264.0,296.0,326.0,348.0,368.0,390.0,408.0,433.0,457.0,478.0,501.0,515.0,530.0,544.0,560.0,584.0,601.0,624.0,658.0,701.0,746.0,782.0,811.0,838.0,866.0,878.0,891.0,911.0,921.0,931.0,937.0,943.0,946.0,,,,,
Quirguistão,0.0,0.0,4.0,5.0,7.0,8.0,11.0,12.0,14.0,16.0,17.0,24.0,30.0,42.0,61.0,107.0,149.0,1079.0,1329.0,1427.0,1478.0,1498.0,1498.0,1059.0,1060.0,1063.0,1063.0,1064.0,1066.0,1092.0,1113.0,1136.0,1163.0,1188.0,1207.0,1241.0,1275.0,1301.0,1317.0,1335.0,1353.0,1360.0,1375.0,1378.0,,,,,,,,
Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Letónia,0.0,0.0,0.0,0.0,1.0,5.0,5.0,12.0,16.0,18.0,19.0,22.0,24.0,25.0,28.0,30.0,30.0,30.0,30.0,31.0,31.0,32.0,32.0,32.0,33.0,34.0,35.0,35.0,36.0,36.0,38.0,40.0,44.0,56.0,74.0,99.0,123.0,153.0,197.0,262.0,349.0,439.0,559.0,680.0,849.0,920.0,,,,,,
Líbano,0.0,0.0,3.0,4.0,6.0,16.0,19.0,21.0,22.0,24.0,25.0,26.0,26.0,26.0,28.0,31.0,32.0,33.0,35.0,36.0,40.0,43.0,57.0,70.0,92.0,113.0,146.0,179.0,219.0,263.0,329.0,374.0,439.0,501.0,552.0,610.0,683.0,775.0,868.0,974.0,1067.0,1170.0,1248.0,1353.0,1468.0,1566.0,1781.0,,,,,
Lesoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,12.0,21.0,24.0,30.0,30.0,31.0,31.0,33.0,33.0,35.0,39.0,42.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,48.0,51.0,65.0,85.0,89.0,,,,,,,,,,,,,,,,
Libéria,0.0,0.0,3.0,5.0,8.0,12.0,18.0,20.0,21.0,26.0,27.0,30.0,32.0,34.0,34.0,37.0,51.0,70.0,72.0,77.0,79.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,,,,,,,,
Líbia,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,10.0,10.0,23.0,34.0,40.0,49.0,64.0,93.0,125.0,157.0,199.0,237.0,296.0,368.0,450.0,527.0,596.0,644.0,732.0,801.0,880.0,944.0,1025.0,1102.0,1183.0,1243.0,1314.0,1369.0,1440.0,1526.0,1589.0,1645.0,,,,,,,,,
Liechtenstein,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,8.0,13.0,16.0,19.0,21.0,28.0,38.0,45.0,49.0,49.0,,,,,,
Lituânia,0.0,0.0,0.0,4.0,9.0,16.0,32.0,40.0,45.0,49.0,54.0,61.0,68.0,71.0,74.0,76.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,85.0,86.0,86.0,87.0,89.0,92.0,102.0,110.0,125.0,150.0,186.0,244.0,341.0,449.0,564.0,735.0,933.0,1186.0,1458.0,2076.0,2346.0,,,,,,
Luxemburgo,0.0,0.0,4.0,15.0,31.0,54.0,72.0,85.0,92.0,100.0,104.0,109.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,111.0,112.0,114.0,119.0,122.0,124.0,124.0,124.0,124.0,124.0,124.0,125.0,130.0,133.0,141.0,152.0,180.0,219.0,260.0,300.0,345.0,392.0,434.0,458.0,495.0,527.0,545.0,,,,,,
MS Zaandam,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,10.0,13.0,16.0,24.0,33.0,53.0,70.0,105.0,134.0,162.0,177.0,184.0,197.0,208.0,216.0,227.0,232.0,235.0,237.0,238.0,244.0,244.0,249.0,250.0,251.0,255.0,255.0,259.0,260.0,261.0,262.0,267.0,,,,,,,,,
Malawi,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,11.0,16.0,24.0,43.0,76.0,103.0,136.0,152.0,164.0,173.0,175.0,176.0,178.0,179.0,179.0,180.0,181.0,183.0,184.0,184.0,185.0,185.0,185.0,185.0,186.0,187.0,187.0,189.0,199.0,254.0,275.0,,,,,,,,,,
Malásia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,53.0,70.0,86.0,96.0,103.0,107.0,112.0,115.0,115.0,116.0,119.0,121.0,121.0,121.0,121.0,122.0,123.0,125.0,125.0,125.0,125.0,125.0,128.0,128.0,129.0,133.0,136.0,152.0,176.0,214.0,249.0,279.0,304.0,329.0,350.0,376.0,402.0,432.0,449.0,474.0,537.0,578.0,
Maldivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,10.0,13.0,15.0,15.0,17.0,19.0,22.0,26.0,28.0,29.0,31.0,33.0,34.0,34.0,34.0,36.0,37.0,38.0,39.0,42.0,45.0,46.0,47.0,48.0,48.0,48.0,48.0,49.0,49.0,,,,,,,
Mali,2.0,5.0,13.0,14.0,24.0,32.0,40.0,53.0,70.0,78.0,94.0,104.0,111.0,116.0,119.0,121.0,122.0,124.0,124.0,125.0,125.0,125.0,126.0,127.0,128.0,129.0,131.0,131.0,132.0,132.0,136.0,136.0,137.0,141.0,148.0,160.0,180.0,205.0,225.0,262.0,284.0,303.0,305.0,,,,,,,,,
Malta,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,15.0,17.0,29.0,37.0,41.0,45.0,49.0,61.0,73.0,92.0,108.0,128.0,149.0,166.0,183.0,203.0,219.0,230.0,235.0,,,,,,,
Ilhas Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritânia,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,20.0,43.0,81.0,102.0,120.0,129.0,146.0,151.0,156.0,157.0,157.0,157.0,158.0,158.0,160.0,161.0,161.0,161.0,162.0,163.0,163.0,163.0,163.0,165.0,165.0,169.0,172.0,182.0,210.0,264.0,314.0,349.0,382.0,396.0,,,,,,,,
Ilhas Maurício,2.0,5.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,
México,0.0,0.0,1.0,8.0,50.0,194.0,486.0,1069.0,1859.0,2961.0,4477.0,6510.0,9044.0,12545.0,15944.0,19747.0,25060.0,29189.0,33526.0,37574.0,41908.0,46000.0,50517.0,55293.0,59106.0,62594.0,66329.0,69649.0,72179.0,75439.0,78078.0,83096.0,85285.0,87415.0,90773.0,93772.0,97056.0,100104.0,104242.0,108173.0,112326.0,116487.0,121172.0,125807.0,131031.0,137916.0,,,,,,
Moldávia,0.0,1.0,2.0,12.0,30.0,57.0,94.0,124.0,161.0,207.0,242.0,291.0,331.0,398.0,464.0,521.0,580.0,640.0,680.0,732.0,788.0,841.0,895.0,935.0,990.0,1063.0,1117.0,1201.0,1279.0,1353.0,1458.0,1569.0,1669.0,1785.0,1891.0,2006.0,2130.0,2269.0,2403.0,2547.0,2727.0,2883.0,3020.0,3130.0,3211.0,,,,,,,
Mónaco,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,,,,,,
Mongólia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,,,
Montenegro,1.0,1.0,2.0,3.0,5.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,14.0,24.0,32.0,45.0,52.0,68.0,80.0,84.0,100.0,109.0,121.0,138.0,163.0,182.0,211.0,240.0,270.0,320.0,342.0,396.0,444.0,499.0,543.0,585.0,630.0,675.0,692.0,729.0,740.0,,,,,,,,
Marrocos,0.0,1.0,4.0,26.0,70.0,118.0,141.0,161.0,174.0,188.0,192.0,199.0,205.0,208.0,212.0,214.0,221.0,235.0,250.0,273.0,313.0,382.0,498.0,658.0,888.0,1111.0,1361.0,1578.0,1830.0,2069.0,2330.0,2605.0,2928.0,3301.0,3762.0,4272.0,4779.0,5316.0,5789.0,6245.0,6624.0,6957.0,7240.0,7485.0,7743.0,7854.0,,,,,,
Moçambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,5.0,7.0,9.0,10.0,11.0,12.0,16.0,19.0,20.0,22.0,26.0,35.0,41.0,54.0,64.0,70.0,74.0,85.0,92.0,99.0,110.0,123.0,129.0,133.0,140.0,147.0,159.0,168.0,187.0,211.0,,,,,,,,,
Namíbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,10.0,16.0,31.0,42.0,65.0,87.0,98.0,108.0,119.0,123.0,127.0,131.0,133.0,133.0,133.0,138.0,143.0,149.0,152.0,160.0,169.0,187.0,208.0,245.0,275.0,,,,,,,,
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,16.0,22.0,27.0,32.0,35.0,40.0,44.0,56.0,70.0,99.0,137.0,195.0,271.0,322.0,390.0,459.0,520.0,600.0,715.0,829.0,920.0,1070.0,1202.0,1298.0,1435.0,1567.0,1674.0,1765.0,1816.0,1864.0,1909.0,1943.0,
Países Baixos,0.0,5.0,58.0,357.0,1175.0,2255.0,3145.0,4068.0,4727.0,5221.0,5581.0,5767.0,5890.0,5996.0,6061.0,6093.0,6116.0,6134.0,6154.0,6156.0,6158.0,6178.0,6173.0,6182.0,6204.0,6241.0,6267.0,6281.0,6303.0,6344.0,6457.0,6574.0,6720.0,6934.0,7265.0,7748.0,8286.0,8772.0,9185.0,9584.0,9923.0,10333.0,10825.0,11417.0,12096.0,12786.0,12875.0,,,,,
Nova Zelândia,0.0,0.0,0.0,0.0,1.0,1.0,9.0,17.0,19.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,
Nicarágua,0.0,1.0,1.0,1.0,2.0,3.0,5.0,8.0,17.0,35.0,46.0,55.0,64.0,74.0,83.0,91.0,99.0,108.0,116.0,123.0,128.0,133.0,137.0,141.0,144.0,147.0,149.0,151.0,153.0,154.0,155.0,156.0,156.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,167.0,,,,,,,,
