País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Colômbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0314,0.0983,0.2496,0.3852,0.5287,0.7429,0.9689,1.2047,1.5251,1.983,2.6964,3.5395,4.7246,6.5523,8.5667,11.0548,14.0833,17.8331,22.2373,26.4824,30.696,35.1572,39.4042,42.8769,45.7678,47.9474,50.7597,53.0964,55.3054,57.5282,60.0693,62.5888,65.1064,67.5689,70.1159,72.5863,74.9918,77.3462,80.4416,83.761,87.3142,91.9405,97.0896,102.447,107.2581,111.053,113.887,116.1844,117.8628,119.2464,120.6064,122.3869,124.3149,126.8088,130.6569,135.9534,141.9632,148.6295,154.8084,161.7263,167.4571
Comores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.115,0.23,0.23,0.345,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,1.035,1.4949,3.4499,5.8648,8.8546,11.4995,13.5694,15.2944,16.5593,16.5593,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893,16.7893
República do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906,0.0906,0.1087,0.145,0.1812,0.1993,0.2718,0.29,0.3624,0.4349,0.4893,0.6705,0.6705,0.7974,0.8517,0.9061,0.9786,1.0511,1.0873,1.3773,1.4135,1.4135,2.0659,2.0659,1.6129,1.6129,1.6129,1.631,1.6672,1.6672,1.6672,1.6672,1.6672,1.6854,1.7035,1.7035,1.8122,1.8122,1.9391,1.9572,2.0297,2.0659,2.1203,2.1203,2.2109,2.229,2.3015,2.3196,2.374,2.374,2.4284,2.4465,2.4827,2.4827,2.519,2.6096,2.664,2.6821,2.6821,2.7183
República Democrática do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0089,0.0201,0.0223,0.0279,0.0335,0.038,0.0491,0.0681,0.0759,0.0804,0.1005,0.1251,0.1507,0.1898,0.2032,0.2121,0.2188,0.2322,0.2401,0.2512,0.2713,0.2803,0.2892,0.2903,0.2981,0.3026,0.3037,0.3059,0.3082,0.3383,0.3405,0.3517,0.3528,0.3595,0.3696,0.374,0.3841,0.3997,0.4131,0.6521,0.6688,0.6978,0.7146,0.738,0.7537,0.7637,0.776,0.7816,0.7939,0.795,0.8062,0.8106,0.8296,0.8318,0.8318,0.8352,0.8486,0.8597,0.8653,0.8664,0.8698
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393,0.0393,0.0393,0.0589,0.1178,0.1178,0.1178,0.1374,0.1963,0.1963,0.1963,0.2159,0.2356,0.2356,0.3141,0.4515,0.7263,1.3349,2.4538,3.5531,5.0058,6.164,7.3811,8.6963,10.4238,12.4261,14.9192,17.2748,19.709,22.0647,23.9885,26.0889,27.8557,29.485,30.9769,32.6259,33.9804,36.2379,38.3972,40.2621,42.3233,44.1293,46.4654,48.6247,50.3915,51.8441,52.963,53.7286,54.6709,55.358,55.9076,56.6536,57.0854,58.0473,58.8915,59.7552,60.933,62.5427,64.9769,67.843,72.1028,75.5577
Costa do Marfim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0114,0.0227,0.0493,0.0531,0.0682,0.0796,0.1061,0.1137,0.1251,0.1441,0.1744,0.2199,0.2578,0.2881,0.3298,0.3526,0.3715,0.3905,0.3981,0.417,0.4322,0.4435,0.4511,0.4549,0.4549,0.4549,0.4549,0.4549,0.4587,0.4625,0.4777,0.4777,0.489,0.4966,0.5004,0.5004,0.5042,0.5042,0.5194,0.5232,0.5307,0.5383,0.5573,0.599,0.6255,0.6786,0.7127,0.7317,0.7809,0.8113,0.8416,0.9174,0.9705,1.0198,1.0425,1.0804,1.1032,1.107,1.1297,1.1297
Croácia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.1462,0.4385,0.7551,1.1692,1.5346,2.0218,2.2167,2.3385,2.4603,2.509,2.582,2.6064,2.6064,2.6064,2.7526,2.9231,2.9962,3.4103,3.7513,3.8974,4.0436,4.2628,4.5551,4.9449,5.6026,6.2115,6.6987,7.4051,8.0385,9.3051,11.4487,15.2974,21.0705,27.1115,35.1987,45.332,55.9769,67.6692,81.0666,92.4422,101.7961,108.2999,114.0973,118.9204,123.5242,127.2512,130.4909,133.0486,135.1435,136.9217,138.7729,141.4768,144.3999,148.9063,154.8742,161.8165,169.4652,176.9434,183.8857,189.1473,193.1421
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.053,0.0971,0.1854,0.3355,0.5121,0.6092,0.6886,0.6975,0.724,0.7328,0.7328,0.7416,0.7504,0.7593,0.7593,0.7681,0.7681,0.7681,0.7769,0.7769,0.7858,0.8034,0.8387,0.9182,0.9535,1.033,1.0771,1.0859,1.0859,1.1213,1.1301,1.1389,1.1477,1.1566,1.1742,1.2007,1.2007,1.2095,1.2272,1.2625,1.2978,1.3685,1.545,1.7658,1.9247,2.1542,2.4191,2.6839,2.8958,3.1077,3.3196,3.5403,3.7169,3.8847,4.2025,4.7499,5.3326,6.0565,6.6657,7.2926,7.8576
Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2485,0.6626,0.9111,0.9939,0.9939,1.2424,1.2424,1.3252,1.408,1.408,1.408,1.4909,1.4909,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.6565,1.6565,1.6565,1.7393,1.8222,1.8222,1.8222,1.8222,1.905,2.0706,2.0706,2.0706,2.2363,2.8989,3.313,3.81,4.0584,5.6321,6.9573,7.9512,9.6906,11.0986,13.0036,14.5773,15.7368,16.7307,17.7246,18.6357,19.0498,19.2155,19.2983,19.9609,20.3751,21.2033,21.8659,22.6942,24.4335,25.0961,27.0011,28.0778,28.8232,29.3202
República Tcheca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.2895,0.8217,1.5034,1.8769,2.1197,2.3999,2.6426,2.8201,2.9601,3.0162,3.0628,3.0909,3.1656,3.2589,3.2963,3.315,3.3617,3.4924,3.6045,3.6511,3.7445,3.8846,3.9686,4.118,4.4449,4.9585,5.9389,7.4143,10.3278,15.1182,23.7838,36.5394,49.7059,61.2383,70.0253,78.5042,84.3778,90.9797,98.6275,105.5376,114.4553,125.9223,136.7637,145.8402,154.4965,163.3862,172.0985,182.4357,193.305,206.8077,220.908,233.9625,244.8599,253.7029,261.8176,267.4391,271.5011,274.732,277.7949,279.5131,280.4002
Dinamarca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691,0.5525,1.5538,3.5047,5.1621,6.3879,7.4928,8.6841,9.202,9.5128,9.72,10.0135,10.2379,10.3242,10.4105,10.4451,10.5141,10.5314,10.5487,10.5832,10.635,10.7213,10.7213,10.7558,10.7904,10.8422,10.9285,11.0666,11.222,11.4464,11.6363,11.878,12.2406,12.5686,12.9484,13.2592,13.7599,14.6058,15.5554,16.5913,18.4731,21.1664,24.5157,28.0377,31.7323,35.0644,37.3088,38.759,39.8639,40.4682,40.8826,41.1243,41.366,41.5041,41.7458,42.0048,42.2465,42.54,42.8162,43.0234,43.1615,43.2305,43.3341
Diamond Princess,0.0,0.0,0.0,0.0,80.8407,161.6815,161.6815,188.6284,269.4691,269.4691,296.4161,323.363,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.4291,202.4291,202.4291,202.4291,303.6437,708.502,1417.004,2530.3644,3441.2955,4352.2267,4959.5142,5465.587,5566.8016,5668.0162,5668.0162,5870.4453,5971.6599,5971.6599,5971.6599,6072.8745,6072.8745,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6275.3036,6376.5182,6376.5182,6376.5182,6376.5182,6376.5182,6376.5182,6376.5182,6477.7328,6983.8057,8603.2389,10323.8866,12449.3927,14372.4696,14878.5425,15283.4008,15283.4008,15485.83
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
República Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0553,0.4701,0.9034,1.687,2.2585,2.6365,3.2633,3.7058,4.0653,4.3142,4.7475,5.0148,5.6693,6.2224,6.8861,7.5683,8.3887,9.2091,10.1494,11.1819,12.4079,13.7261,14.6111,16.0215,17.4135,18.4183,19.0267,19.3678,19.8103,20.1237,20.3173,20.5201,20.7598,20.9165,21.1101,21.3221,21.5064,21.6355,21.8199,22.1056,22.1702,22.2992,22.373,22.6864,23.6359,24.9265,26.4014,27.4246,28.1805,28.7429,29.4158,29.8398,30.2639,30.5773,30.9276,31.3148,31.5821,31.914,32.3012,32.7252,33.1585,33.2783
Equador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.153,0.4251,1.0826,2.0915,2.9473,4.9368,8.893,13.1893,16.0913,18.1545,19.4864,20.9147,22.5018,24.2248,25.6588,27.6199,29.0766,30.4142,31.6498,32.9195,33.73,34.6029,36.0935,37.2441,60.2333,62.1378,63.0616,64.1159,66.3264,69.3474,70.3053,71.3482,71.9717,72.8275,73.8251,75.1797,76.523,78.1837,78.7619,79.0623,79.357,79.9351,80.4623,81.5165,83.1375,84.5375,85.5067,87.2411,88.233,89.8371,91.0783,92.1552,93.5439,95.1083,96.3779,98.3447,100.5722,104.228,106.9146,109.3121,112.6619,114.5493
Egito,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0039,0.0195,0.045,0.0919,0.1739,0.258,0.3508,0.4417,0.5316,0.644,0.7788,1.028,1.2762,1.7257,2.3111,2.8856,3.4094,3.9166,4.2987,4.584,4.7999,4.9436,5.0657,5.1771,5.3159,5.4332,5.5495,5.6736,5.7791,5.8641,5.9325,6.0019,6.0801,6.1612,6.2481,6.3332,6.4231,6.5139,6.6576,6.8071,7.0035,7.3485,7.7374,8.1146,8.4976,8.8602,9.1924,9.5286,9.8706,10.2048,10.5321,10.8292,11.1243,11.4136,11.6833,11.9735,12.2403,12.5276,12.8676,13.281,13.7129,14.1116,14.4292
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0617,0.0925,0.1079,0.1233,0.2158,0.3083,0.4625,0.555,0.7554,0.925,1.1717,1.7422,2.6826,3.5306,4.286,5.4269,6.429,7.4928,8.7879,9.6358,10.453,11.1622,11.7943,12.2105,12.5497,12.9351,13.3977,13.8602,14.3227,14.7544,15.2169,15.7257,16.219,16.7432,17.2674,18.0074,18.6858,19.5029,20.243,21.168,22.1547,23.2648,24.4056,25.2536,26.2249,27.1037,27.9825,28.815,29.6475,30.1871,30.6188,30.9272,31.2972,31.7135,32.0989,32.546,32.9468,33.3631,33.8411,34.2265
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.2138,0.2851,0.4989,0.8553,0.8553,0.8553,2.2809,2.2809,2.2809,3.6351,3.6351,3.6351,3.6351,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,6.0585,6.0585,6.0585,6.0585,6.0585,6.0585,6.0585,6.1298,6.1298,6.1298,6.1298,6.1298,6.1298,6.2011,6.2011,6.4862,6.5574,6.8426,7.1277,7.1989,7.2702,7.4128,7.5553,7.5553,7.6266,7.983,7.983,7.983,8.0543
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0282,0.0846,0.1692,0.1692,0.1974,0.1974,0.1974,0.1974,0.1974,0.1974,0.1974,0.1974,0.1974,0.2538,0.282,0.282,0.282,0.282,0.3384,0.3384,0.3948,0.3948
Estónia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015,1.5831,2.3369,3.2415,3.7692,4.1461,4.5984,4.8246,4.9,5.1261,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,4.7492,4.7492,4.8246,4.8246,4.8246,4.8246,4.8246,4.8246,5.0508,5.1261,5.3523,5.5031,5.5031,5.7292,6.3323,7.0861,9.1215,10.3277,11.8353,14.0969,16.6599,19.4492,22.0122,25.9322,29.5507,31.963,35.7322,38.2953,41.6876,45.6075,50.4321,55.709,60.986,67.5444,72.6705,79.0782,83.2243,86.5413,88.7274,90.9135,92.6474,93.552
Essuatíni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0862,0.0862,0.1724,0.1724,0.1724,0.2586,0.2586,0.3448,0.6034,0.9481,1.2067,1.7239,2.0687,3.3616,4.2235,5.4303,6.5508,7.4127,8.1023,8.2747,8.7057,9.1366,9.309,9.6538,9.8262,9.9986,9.9986,10.0848,10.0848,10.2572,10.3434,10.5158,10.6881,11.3777,12.2396,15.0841,21.7211,27.4961,34.7365,44.5627,50.2515,52.5788,54.6474,55.768,56.199,56.7161,57.1471,57.3195,57.4919,57.6643,57.6643,57.8367,57.8367,57.8367,57.8367,57.9228,57.9228
Etiópia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0026,0.0026,0.0026,0.0035,0.0043,0.0043,0.0052,0.0122,0.0278,0.0531,0.0652,0.0896,0.0896,0.1209,0.1566,0.2079,0.2984,0.3827,0.4975,0.6167,0.7202,0.8255,0.9003,0.9803,1.036,1.0769,1.1351,1.1926,1.2569,1.2995,1.3369,1.3813,1.4448,1.4866,1.5361,1.577,1.6214,1.664,1.7075,1.7432,1.7719,1.8049,1.8406,1.8771,1.9337,2.005,2.0754,2.132,2.2381,2.3425,2.4712,2.6313,2.8096,2.9914,3.1358,3.281,3.4019,3.4976,3.5524
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116,0.1116,0.1116,0.1116,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.3347,0.4462,0.4462
Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.3068,0.6136,1.1551,2.5448,3.5916,4.4399,4.9633,5.4325,5.631,5.7754,5.8476,5.8837,5.9018,5.9198,5.9379,5.9379,5.9198,5.9379,5.974,6.01,6.0281,6.0461,6.0642,6.0642,6.1183,6.1544,6.2266,6.2447,6.2447,6.3349,6.4071,6.4793,6.5515,6.6959,6.9305,7.2012,7.6524,8.4105,9.2226,9.9265,10.3958,10.865,11.2079,11.8216,12.345,12.6879,12.9947,13.2474,13.6264,14.0054,14.4566,14.5829,14.9078,15.5214,15.8283,16.117,16.3878,16.5321,16.7307,16.839,16.9473
França,0.0,0.0,0.0,0.0015,0.0015,0.0061,0.0506,0.2283,1.6883,5.4019,15.8257,24.071,31.8184,36.2076,39.1231,41.3552,43.2672,43.8126,44.3411,44.8896,45.2756,45.5346,45.7245,45.8624,46.0171,46.2393,46.3082,46.4201,46.5089,46.659,46.8077,46.9915,47.1447,47.5124,48.1512,48.8682,49.6158,50.4876,51.9537,54.4892,59.3886,64.7751,71.0089,77.0941,82.1099,86.4838,90.6677,94.7107,98.3615,101.7518,105.6156,109.5115,113.7521,118.5519,123.0131,127.0975,130.52,133.8567,137.0464,139.9097,142.5754,146.2998,149.2658,152.6484,155.8258,158.9649,161.7011,164.0727,165.7656,166.7123
Gabão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.0449,0.0449,0.0449,0.0449,0.1348,0.2696,0.4044,0.5391,0.629,0.8986,0.9435,1.3029,1.7522,1.887,2.0667,2.0667,2.0667,2.2015,2.2914,2.2914,2.3812,2.3812,2.3812,2.3812,2.3812,2.4262,2.4262,2.4262,2.4262,2.4262,2.4262,2.4711,2.561,2.6059,2.6508,2.6957,2.6957,2.8305,2.8755,2.8755,2.9653,2.9653,2.9653,3.0102,3.0552,3.19,3.3697,3.4146,3.9088,4.0885,4.5378,4.8523,5.1219,5.3466,5.7958,6.1103,6.2002,6.2901,6.4248,6.5147,6.6046
Gâmbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0828,0.0828,0.1241,0.1241,0.1655,0.331,0.5793,1.3241,2.6069,3.7241,3.9724,4.0965,4.3448,4.5517,4.6345,4.8414,4.8828,4.8828,4.9241,4.9655,5.0483,5.0483,5.0897,5.0897,5.0897,5.0897,5.0897,5.131,5.1724,5.1724,5.2965,5.2965,5.4207,5.5862,5.7103,6.0414,6.2069,6.331,6.331,6.6621,6.8276,6.869,6.9517,7.0345,7.2,7.2414,7.2414,7.2414,7.3655
Geórgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0752,0.1003,0.1504,0.2256,0.2757,0.3008,0.3008,0.3259,0.3259,0.351,0.351,0.376,0.376,0.376,0.4011,0.4011,0.4262,0.4262,0.4262,0.4763,0.4763,0.4763,0.4763,0.5766,0.9024,1.4539,2.5569,3.9607,5.9662,9.0746,13.0604,19.5028,26.3464,32.6635,39.507,47.2028,54.6981,61.2409,66.3296,70.6915,74.5268,77.6102,80.4178,82.8744,84.6543,86.6597,88.5398,90.2695,91.6983,93.1021,94.5811,96.0602,97.6144,99.2438,101.7756,104.859,108.6944,112.7804,116.2899
Alemanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0286,0.1874,0.925,2.4062,3.9315,6.0071,7.5361,8.3465,9.2357,9.645,9.9924,10.2203,10.4268,10.5271,10.6393,10.73,10.7801,10.835,10.8601,10.8983,10.9365,10.9902,11.0296,11.0773,11.1083,11.1429,11.1799,11.2253,11.3184,11.4175,11.5559,11.7946,12.0799,12.7912,14.0612,15.6808,17.7027,20.5015,23.8733,28.1009,33.5339,38.5122,43.8712,51.19,58.4802,63.9968,70.4097,75.2006,78.5699,82.0981,84.6535,86.5727,88.2651,89.8203,91.1738,92.1955,94.4537,96.2953,98.2587,100.1266,101.9109,103.4458,104.3887
Gana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0161,0.0161,0.0257,0.029,0.0515,0.0579,0.0708,0.0998,0.1094,0.1223,0.1545,0.1867,0.3057,0.3604,0.4152,0.4473,0.4924,0.5407,0.6147,0.6919,0.7981,0.8689,0.8882,0.9108,0.9462,0.9558,0.9687,0.9751,0.9977,1.0041,1.017,1.0298,1.0298,1.0395,1.0395,1.0395,1.0491,1.0524,1.0717,1.0781,1.0781,1.0878,1.1521,1.1972,1.3645,1.5512,1.7861,1.873,1.9535,2.1112,2.2463,2.3622,2.3815,2.4201,2.4491,2.4813,2.507,2.5102,2.5199,2.5199,2.5199
Grécia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.1919,0.4701,0.7771,0.969,1.1609,1.324,1.4007,1.4583,1.583,1.6598,1.7173,1.7557,1.7749,1.8229,1.8421,1.8517,1.8517,1.89,1.9476,2.0052,2.0531,2.2258,2.3314,2.6,2.7823,3.003,3.3771,3.7225,4.0295,4.4325,5.0657,5.6893,6.2841,8.3085,11.7816,17.4133,24.1484,30.6436,36.3137,41.6385,45.3802,48.4599,51.127,52.9403,54.6097,56.1352,57.7278,59.3012,60.8555,62.9086,65.6525,69.0393,72.7426,76.916,81.857,86.8651,92.3626,97.6585,102.35,106.8881,110.6585,113.4217
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0056,0.0056,0.0167,0.0279,0.0391,0.0837,0.1061,0.1507,0.24,0.3516,0.6866,1.6131,2.3332,3.2486,4.3147,5.6041,7.2674,8.5456,9.9467,11.37,12.464,13.5022,14.68,15.5061,16.1312,16.6559,17.5099,18.0737,18.4756,19.0337,19.7928,20.4571,20.9204,21.3892,22.0311,22.8795,23.3205,23.9233,24.9839,26.3346,26.6863,27.1217,28.3552,29.6558,30.6214,31.8661,33.2392,34.3723,35.2487,35.7901,36.2422,36.8339,37.5651,38.0842,38.5307,39.3903,40.6295,41.6007,42.4547,43.4036,44.1683,44.7041
Guiné,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457,0.0533,0.0761,0.0838,0.1371,0.1523,0.1751,0.1751,0.198,0.2132,0.2513,0.2589,0.2894,0.3122,0.3503,0.3655,0.3807,0.396,0.434,0.4493,0.4797,0.4797,0.4949,0.5026,0.5178,0.533,0.533,0.5406,0.5559,0.5635,0.5711,0.5711,0.5787,0.6015,0.6092,0.6092,0.6092,0.6168,0.6168,0.6168,0.6244,0.632,0.6396,0.6472,0.6625,0.6929,0.7386,0.7919,0.8604,0.9518,0.9899,1.0356,1.0584,1.0736,1.1117,1.1498,1.165,1.2107
Guiné-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508,0.0508,0.1524,0.3049,0.3557,0.4065,0.6098,0.7622,0.9654,1.2195,1.2703,1.3211,1.3211,1.3211,1.372,1.4736,1.6768,1.6768,1.7276,1.9309,1.9817,1.9817,1.9817,2.0325,2.0833,2.0833,2.0833,2.0833,2.185,2.185,2.185,2.2358,2.2358,2.2358,2.2866,2.2866,2.2866,2.2866,2.2866,2.2866,2.2866,2.3374,2.3374,2.3882,2.439,2.4898,2.6423,2.8455,3.0996,3.3537,3.3537,3.3537,3.4045,3.4045,3.4045,3.4045,3.4553
Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271,0.1271,0.2543,0.6357,0.7628,0.89,1.0171,1.2714,1.2714,1.2714,1.3985,1.5256,1.5256,1.5256,1.5256,1.5256,2.0342,2.1613,2.4156,2.5427,2.797,2.797,3.1784,3.9413,5.2126,6.1026,7.374,8.5182,9.9167,11.6966,13.4765,14.4936,15.1293,16.2736,17.1635,17.7992,18.6892,19.1977,19.5791,19.8334,20.3419,20.8505,21.1048,21.6133,21.6133,21.8676,22.5033,23.0118,23.9018,24.1561,25.046,25.936,26.4445,27.7159,29.3687,31.4029,32.8014,34.7084,36.9969,38.904,42.0824,43.8623,45.6422
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0263,0.0263,0.0526,0.0789,0.114,0.1754,0.2368,0.3859,0.4473,0.6402,0.7718,0.9121,0.991,1.219,1.2804,1.3769,1.447,1.6049,1.7189,1.7189,1.7628,1.8768,1.9206,1.9382,1.9908,2.0083,2.0171,2.0259,2.0346,2.0346,2.0346,2.0346,2.0346,2.0434,2.0434,2.0522,2.0522,2.0697,2.0697,2.0873,2.1048,2.1311,2.1486,2.1574,2.1662,2.1662,2.1925,2.2013,2.2013,2.2013,2.21,2.21,2.21,2.21,2.2188,2.2539,2.3153,2.403,2.5258
